phase	block	slot	model	provider	moment	kind	source	value
abba	5	1	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	61000
abba	5	1	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	60000
abba	5	1	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	60000
abba	5	1	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	62000
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	5	1	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	61000
abba	5	1	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	61000
abba	5	1	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	62000
abba	5	1	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	62000
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	61000
abba	5	2	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	61000
abba	5	2	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	61000
abba	5	2	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	63000
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	5	2	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	61000
abba	5	2	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	59000
abba	5	2	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	62000
abba	5	2	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	63000
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	60000
abba	5	3	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	60000
abba	5	3	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	61000
abba	5	3	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	60000
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	5	3	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	61000
abba	5	3	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	60000
abba	5	3	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	61000
abba	5	3	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	63000
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	61000
abba	6	0	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	60000
abba	6	0	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	61000
abba	6	0	B2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	61000
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	6	0	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	60000
abba	6	0	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	61000
abba	6	0	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	62000
abba	6	0	B2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	62000
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	61000
abba	6	1	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	61000
abba	6	1	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	62000
abba	6	1	C2	spacemit	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	61000
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
abba	6	1	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	62000
abba	6	1	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	60000
abba	6	1	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	63000
abba	6	1	C2	spacemit	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	63000
abba	6	2	C2	spacemit	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
